time,model,prec,recall,f1,test_dataset,num_params,size(MB),latency
2025-06-20 16:49:15,Silero-V5,Ten_Vad_Dataset,0.9125111917337588,0.9094740406320568,0.8983257830596385,462594,1.850376,0.08263998031616211
2025-06-20 16:49:24,Ten_Vad,Ten_Vad_Dataset,0.9484218926180319,0.9258701359155498,0.9334215506918195,,0.35,0.06285646666666665
2025-06-20 16:49:31,Pyannote,Ten_Vad_Dataset,0.8662536262578248,0.9811430510461947,0.9182135735317154,1472878,5.891512,0.20610292752583823
2025-06-20 19:47:10,TR_VAD,Ten_Vad_Dataset,0.9406059219229996,0.9182905115648716,0.9279962947475532,376453,1.505812,0.050945623715718584
2025-06-21 18:55:40,TR_VAD_int8,Ten_Vad_Dataset,0.9413321042370345,0.9196917004134849,0.9290383777738984,151434,0.605736,3.6544276316960653
2025-06-20 18:41:23,Silero-V5,MSDWILDDataset,0.9183064023520501,0.8499034395522612,0.8638917120504309,462594,1.850376,0.8131797003880733
2025-06-20 18:45:34,Ten_Vad,MSDWILDDataset,0.8620073622222626,0.8884357369552702,0.8704398507573854,,0.35,0.6916305593220339
2025-06-20 18:59:20,Pyannote,MSDWILDDataset,0.9064960420153143,0.9534211086563984,0.9270359055906711,1472878,5.891512,3.7564352097484353
2025-06-20 19:34:34,TR_VAD,MSDWILDDataset,0.8846167513175168,0.7576406876742081,0.8120635217995337,376453,1.505812,0.8270995838697567
2025-06-21 21:27:32,TR_VAD_int8,MSDWILDDataset,0.9191493172339881,0.798145291419211,0.8515185734981645,151434,0.605736,50.38499700282253
2025-06-22 12:36:31,Silero-V5,Ten_Vad_Dataset,0.920844307900667,0.9167710363346979,0.9062215049764499,462594,1.850376,0.08726840813954671
2025-06-22 16:11:53,Silero-V5,Ten_Vad_Dataset,0.9110539934827321,0.9017712502153276,0.8917803415582013,462594,1.850376,0.07940587997436524
2025-06-22 17:59:18,Ten_Vad,Ten_Vad_Dataset,0.9432828896654901,0.9258277847324661,0.9306331789005503,,0.35,0.11114580631256103
2025-06-22 17:59:24,Pyannote,Ten_Vad_Dataset,0.8584564156527026,0.985315524050196,0.9153189059229146,1472878,5.891512,0.2115087111790975
2025-06-22 18:02:48,TR_VAD,Ten_Vad_Dataset,0.9403382138966709,0.9182905115648716,0.9278663750831988,376453,1.505812,3.6644911050796507
2025-06-22 18:19:11,TR_VAD,Ten_Vad_Dataset,0.9403382138966709,0.9182905115648716,0.9278663750831988,376453,1.505812,3.613121732076009
2025-06-22 18:19:35,TR_VAD,Ten_Vad_Dataset,0.9403382138966709,0.9182905115648716,0.9278663750831988,376453,1.505812,0.05178054173787435
2025-06-22 18:24:04,TR_VAD_int8,Ten_Vad_Dataset,0.9410622391695683,0.9196917004134849,0.9289085544778292,151434,0.605736,3.6590054591496783
2025-06-22 18:34:48,TR_VAD_int8,Ten_Vad_Dataset,0.9410622391695683,0.9196917004134849,0.9289085544778292,151434,0.605736,3.6681384563446047
2025-06-22 18:54:54,TR_VAD_int8,Ten_Vad_Dataset,0.9410622391695683,0.9196917004134849,0.9289085544778292,151434,0.605736,3.7079745372136435
2025-06-22 18:56:41,TR_VAD,Ten_Vad_Dataset,0.9403382138966709,0.9182905115648716,0.9278663750831988,376453,1.505812,0.05085219542185466
2025-06-22 18:59:37,TR_VAD_int8,Ten_Vad_Dataset,0.9410622391695683,0.9196917004134849,0.9289085544778292,151434,0.605736,3.635962637265523
2025-06-22 19:00:17,TR_VAD,Ten_Vad_Dataset,0.9403382138966709,0.9182905115648716,0.9278663750831988,376453,1.505812,0.051842260360717776
2025-06-22 19:09:14,TR_VAD_int8,Ten_Vad_Dataset,0.9410622391695683,0.9196917004134849,0.9289085544778292,151434,0.605736,3.700774391492208
2025-06-22 19:10:44,TR_VAD,Ten_Vad_Dataset,0.9403382138966709,0.9182905115648716,0.9278663750831988,376453,1.505812,0.05198507308959961
2025-06-22 19:18:26,TR_VAD,Ten_Vad_Dataset,0.9403382138966709,0.9182905115648716,0.9278663750831988,376453,1.505812,0.05147722562154134
2025-06-22 19:22:19,TR_VAD_int8,Ten_Vad_Dataset,0.9410622391695683,0.9196917004134849,0.9289085544778292,151434,0.605736,3.5354162375132243
2025-06-22 19:38:53,TR_VAD,MSDWILDDataset,0.8546233742366072,0.7574008664811893,0.7956907012204212,376453,1.505812,0.8495091795921326
2025-06-22 22:04:51,TR_VAD_int8,MSDWILDDataset,0.856437335416696,0.7983176590999034,0.8067538110112343,151434,0.605736,50.2017049627789
2025-06-22 22:24:42,Silero-V5,MSDWILDDataset,0.8554579149170012,0.8250009623112595,0.7968054487898676,462594,1.850376,0.7811121576923435
2025-06-22 22:33:09,Ten_Vad,MSDWILDDataset,0.8433243329587591,0.9320785794022232,0.8671372474116646,,0.35,0.6542673393831415
2025-06-22 22:52:09,Pyannote,MSDWILDDataset,0.8431660072823569,0.9515668246982543,0.8755274402585633,1472878,5.891512,0.09588453998673434
